Title,Channel,Views,Likes,Comments,Hashtags_Count,Caption_Length,Posting_Hour,Video_Link
"Rama | Namit Malhotra’s Ramayana | Nitesh Tiwari | Ranbir, Yash, Hans Zimmer & A.R. Rahman",Sony Music India,4087432,147091,11620,10,1379,9,https://www.youtube.com/watch?v=1pnKd6YHmV4
Namit Malhotra’s Ramayana Rama Trailer • Reaction,thePJ,707600,42137,3825,3,1098,4,https://www.youtube.com/watch?v=QqdrrWqrA0M
LEVEL 1 VS LEVEL 100 MINECRAFT CANNON,Ujjwal,1020256,67499,5818,0,530,9,https://www.youtube.com/watch?v=5bdsq08pG-E
BTS (방탄소년단) '2.0' Official MV,HYBE LABELS,17495380,2840568,197542,4,3687,15,https://www.youtube.com/watch?v=_gyultVTesk
Ramayana Rama Teaser Breakdown,FlickVerse,646280,40042,4717,0,1421,8,https://www.youtube.com/watch?v=BYu8XcBr3_4
Minecraft But Item Have Babies !,Carry Depie,575600,10505,742,2,76,12,https://www.youtube.com/watch?v=kbZ-QB7_Ff4
"DIDI (SHER-E-BALOCH) (Full Video) | Dhurandhar The Revenge | Ranveer Singh | Shashwat Sachdev,Khaled",T-Series,2596032,57893,2062,3,1266,6,https://www.youtube.com/watch?v=hnEGQH4LP2c
Namit Malhotra’s Ramayana Rama Trailer Review,PJ Explained,510641,29590,2856,3,1435,8,https://www.youtube.com/watch?v=CL2CPTXTmeQ
RANK PUSH TO #1 | CONQUEROR RANK PUSH OR WHAT | BGMI LIVE,LoLzZz Gaming,364308,21227,23,0,758,22,https://www.youtube.com/watch?v=hbPB0Xh3R9M
#Video | कमर में दागी | #Khesari Lal Yadav & Shilpi Raj | Kamar Me Dagi | Sona Dey | #Bhojpuri Song,Aaradhya Films,4942004,219602,23953,11,1170,2,https://www.youtube.com/watch?v=JUhcNNwha7w
Kathanar -Official Trailer (Malayalam) | Jayasurya | Anushka Shetty | Rojin Thomas | Gokulam Gopalan,Sree Gokulam Movies,3112355,106984,6718,17,2899,8,https://www.youtube.com/watch?v=VRPF2tXQ06c
Stealing Gas Fuel to Survive in Minecraft..,Karry Kraft,882163,13475,827,2,94,13,https://www.youtube.com/watch?v=xD_19TsNSgU
हनुमान जयंती को यह चमत्कारी सुन्दरकाण्ड घर में चलाकर रख देना सभी संकट जड़से खत्म और धनवर्षा शुरू#ram,Panchmukhi Hanuman,472487,5882,636,37,3908,21,https://www.youtube.com/watch?v=CU2qSkCPqBY
Oru Durooha Saahacharyathil Official Trailer | Kunchacko Boban | Sajin Gopu | Ratheesh Balakrishnan,Magic Frames,331949,10307,375,8,1959,13,https://www.youtube.com/watch?v=jxVm2wvIYLM
I Made a DREAM PvP Team for REVENGE in Himlands Minecraft SMP,YesSmartyPie,540414,61393,2941,2,1025,7,https://www.youtube.com/watch?v=uzZqM0lIvXg
Sunlo Pukar (Official Video) Hansraj Raghuwanshi | Hanuman Janmotsav Special Bhajan 2026,Hansraj Raghuwanshi,1189676,30305,2211,19,2266,12,https://www.youtube.com/watch?v=0duXPhS37SY
Raja Shivaji First Look  Hindi Teaser | Riteish D | Genelia D | Sanjay D | In Cinemas 1 May 2026,JioStudios,1656392,67202,5427,1,2006,13,https://www.youtube.com/watch?v=FkxNoRIXDPY
🔴[Live Free Fire New Rank Season Rank Push Live !!,VISHNU RAJPUT GAMING,833699,13233,6,9,110,13,https://www.youtube.com/watch?v=lw3TZtSXfbk
#Pawan Singh | #Video - शहरिया | #Shivani Singh | Shahariya | Bhojpuri New Song 2026,As Manoranjan,1928520,110818,12902,6,1376,0,https://www.youtube.com/watch?v=-GvN9fA2WG4
Aakhri Sawal Teaser | Yeh Sirf Shuruaat Hai | Sanjay Dutt | Namashi | Amit Sadh | Sameera Reddy,Nikhil Nanda Motion Pictures ,1175419,45127,2925,1,2100,5,https://www.youtube.com/watch?v=xgR3eFTxLKY
Dig Tunnel to Escape School! 😱,Tyro Gaming,268260,3203,276,0,182,13,https://www.youtube.com/watch?v=CQ1KZqSA6Go
Nas Nas Kyu Dukhe पिया मेरी नस नस के हो दुखे || Anjali Raghav & Karan Chaudhary !! Brajbhasha Song,Dil Hits Haryanvi,234504,869,13,15,3003,1,https://www.youtube.com/watch?v=5iykaIgRFE8
"Love Insurance Kompany (Telugu) Teaser | Pradeep Ranganathan, Anirudh, Vignesh Shivan, Krithi Shetty",Sony Music South,1378407,51929,1114,0,1994,5,https://www.youtube.com/watch?v=kb5AJIaZo-E
"Rs1 vs Rs 1,00,000 ILLEGAL ITEMS MINING CHALLENGE IN MINECRAFT..",Junkeyy,253518,7942,646,3,243,14,https://www.youtube.com/watch?v=f56bWVDHniY
@SaiAbhyankkar  - Pavazha Malli (Unplugged) | Shruti Haasan | Vivek | Think Indie,Think Music India,1544937,73222,1228,5,1154,11,https://www.youtube.com/watch?v=ZpZZvIOcdwE
Kathanar | Trailer Reaction | Jayasurya | Rojin Thomas | Gokulam Gopalan,LifeofShazzam,248100,13211,772,0,48,6,https://www.youtube.com/watch?v=Wh1jECxzTeI
🌿FREE FIRE LIVE🌿PLAYING BR-RANKED😎2X AWM SPEED GAME PLAY 🎮🎯 ON LIVE - GARENA FREE FIRE,DAD I AM OK GAMING,329730,4940,1,3,128,21,https://www.youtube.com/watch?v=qRpb4SPEm2Q
#Video - कुलींग करे वाला चोली - #Ashish Yadav का इस साल का पहला चईत सांग - #Magahi Chaita Song 2026,Aashish Yadav Entertainment,314337,21358,1382,0,1190,1,https://www.youtube.com/watch?v=kAVYaC-L2t0
RAMA | Namit Malhotra’s RAMAYANA | Nitesh Tiwari | Ranbir | Hans Zimmer & A.R. Rahman | REACTION!,G.O.T Games,75463,4188,331,36,3633,8,https://www.youtube.com/watch?v=hiGiVaFx2xs
My V Badge ID Banned Bye Bye 💔 ,SATVIK,1138473,50071,5159,0,0,4,https://www.youtube.com/watch?v=tsCJm56CpQs
हनुमान जयंती स्पेशल भजन | Hanuman Janmotsav Bhajan | Hanuman Janmotsanv 2026 | Hanuman Jayanti 2026,Bhakti Sadhna भक्ति साधना,379767,2640,185,68,3573,23,https://www.youtube.com/watch?v=_-P_xOtiOSg
Ramayana Rama Teaser Pre-REVIEW | Deeksha Sharma,Filmi Indian,455336,17104,971,3,543,7,https://www.youtube.com/watch?v=eTR0ohiIsnM
Mithe Tere Bol Pari - Masoom Sharma | Aman Jaji | Pranjal Dahiya | New Haryanvi Song 2026,Freefore81,151106,425,11,12,1736,14,https://www.youtube.com/watch?v=UeWuDOH8NvE
श्री हनुमान जन्मोत्सव स्पेशल :- श्री हनुमान भक्तिगीते व आरती | Hanuman Songs | Hanuman Bhaktigeete,Wings Marathi Bhakti,119280,515,24,3,1087,22,https://www.youtube.com/watch?v=8MDamkMUCmY
Rama | Namit Malhotra's Ramayna Glimpse Reaction And Review | Yash Ramayana Official Teaser |Prabhas,Ra One For You,78949,2927,338,9,760,5,https://www.youtube.com/watch?v=qlRA2994tn8
I Secretly Used //INFINITE to Cheat in Minecraft,Mc flame,176999,2804,82,5,555,7,https://www.youtube.com/watch?v=gS2F7N7KK-I
श्री हनुमान चालीसा 🌺🙏 shree hanuman chalisa original video 🙏🌺gulshan kumarhariharan full h,Aarvi Bhakti Bhajan,89886,724,20,92,3477,2,https://www.youtube.com/watch?v=CVfgEkFR-R0
SUPERGIRL | Official Trailer,DC,11988036,256627,14741,1,1519,16,https://www.youtube.com/watch?v=s1-pfiVMKAs
THE END | Resident Evil Requiem - Part 11,BeastBoyShub,604022,51064,4757,0,708,12,https://www.youtube.com/watch?v=U7VOy3W0cCo
"हनुमान जयंती Special | हनुमान जयंती कथा | हनुमान जन्म कथा | Ds Pal, Hanuman Jayanti Katha 2026,Katha",Sonotek Bhakti,164037,2016,129,10,2477,22,https://www.youtube.com/watch?v=uXNWe2z1iv8
Manithan Deivamagalam - Official Trailer | Selvaraghavan | Kushee Ravi | Dennis Manjunath,Saregama Tamil,84109,1796,47,5,2111,12,https://www.youtube.com/watch?v=xBA1JMHfiTw
HACKER WON GAMING PC IN SOLO TOURNAMENT ?  REACTION 😱,Desi Army,490692,23892,1350,4,674,12,https://www.youtube.com/watch?v=25WWnL2wJdA
Hanuman jayanthi Songs | హనుమాన్ జయంతి స్పెషల్ పాటలు | Hanuman Songs   Powerful Hanuman songs,Maha Mantram - మహా మంత్రం ,99124,430,33,2,858,22,https://www.youtube.com/watch?v=4IRFnp_6mrg
Ranbir Kapoor की Ramayana का Teaser देख लोग क्यों बोल रहे- ये हमारी रामायण नहीं? Namit Malhotra,Lallantop Cinema,59382,1316,125,0,635,12,https://www.youtube.com/watch?v=msr70dqQL6A
Kab aaoge Pardesi Piya 💔🥀 sad song had teaching 😭💔 breakup songs 😭💔 gaming ,Vishnu tha mugic,413534,909,18,5,407,17,https://www.youtube.com/watch?v=UqpyPrFkqYY
 New Song 2026 | Dil Tere Naam | Ranveer Singh | Sara Arjun | New Hindi Song | Romantic Song 2026,Prakash Jojawar,323500,2386,53,29,2814,2,https://www.youtube.com/watch?v=QAFcT4qqlF8
SPIDER-MAN: BRAND NEW DAY - Official Trailer (Hindi) | Exclusively In Cinemas 31 July,Sony Pictures Entertainment India,1116902,35480,528,16,638,9,https://www.youtube.com/watch?v=E1kipafZW2I
GTA 5 : Franklin Finally Took His Revenge From The Car Showroom In Gta 5 !,Flight Gamer,225549,7425,566,0,699,7,https://www.youtube.com/watch?v=n1Yd6NkRFok
चीता - जय भीम बोल के | Sanjay Yaduvanshi |,Sanjay Sultanpuriya ,82628,14561,3772,2,830,12,https://www.youtube.com/watch?v=BfudSWLBAK0
Raja Shivaji First Look Teaser Review | Yogi Bolta Hai,YOGI BOLTA HAI,299488,12440,677,8,1920,4,https://www.youtube.com/watch?v=kGRp3Tgjivw
NEW SQUAD SERIOUS 18 WWCD STREAK CHALLENGE  - #iQOO #iQOO15R,Snax Gaming,297442,17608,13,1,395,13,https://www.youtube.com/watch?v=6c8IlAhVRdI
താലത്തിൽ വെള്ളമെടുത്തു | പെസഹാ വ്യാഴാഴ്ചകളെ എന്നും ഭക്തിസാന്ദ്രമാക്കിയ മനോഹരഗാനം |#Pesahasongs| 2026,Das Creations,140738,1564,130,18,1011,13,https://www.youtube.com/watch?v=Tax5O3lCT0o
Aadu 3 Success Teaser | Jayasurya | Midhun Manuel Thomas | Vijay Babu & Venu Kunnappilly| Vinayakan,Friday Film House,443707,16455,535,14,3181,11,https://www.youtube.com/watch?v=mzuA8d72mXU
I Evolved MY SPINNER To MAX LEVEL!,I. M. Bixu,193422,7423,719,0,691,11,https://www.youtube.com/watch?v=-Ez7lC_nByo
2026 हनुमान जयंती Special - हैप्पी बर्थडे वीर हनुमान - Happy Birthday Veer Hanuman - Naresh Saini,Ambey Bhakti,271189,2974,127,19,4738,22,https://www.youtube.com/watch?v=zUuAd8UwNkk
RAMAYANA | Official Teaser Trailer (2026) 4K,JoBlo Movie Network,53724,518,110,3,588,13,https://www.youtube.com/watch?v=QF7H-tDf5Nk
I Found THE STRONGEST CONTROL Fruit In Blox Fruits 😱 | Roblox,NotGamerFleet,322054,29022,4806,0,469,6,https://www.youtube.com/watch?v=HNrpnftf5JM
हनुमान जन्मोत्सव विशेष श्री हनुमानाचा पाळणा l Hanuman Palna Marathi l Hanuman Janma Palna Marathi,Shri Swami Bhakti,85607,824,37,9,2878,23,https://www.youtube.com/watch?v=55eEarlXAYg
Supergirl Trailer Breakdown,ComicVerse,275240,15790,861,0,1454,8,https://www.youtube.com/watch?v=3jMtdP8TdSU
"I Spent 2,313,422 Robux in PULL THE LUCKY BLOCK Roblox",SenpaiUnlimited,243549,6061,947,2,351,3,https://www.youtube.com/watch?v=1jStvE5S9tg
नसीब वाले होते है जो बाबा श्याम का यह भजन सुनते है~Top Khatu Shyam Bhajans| Shyam Baba Ke Bhajans,Inspire Bhakti Sagar,27497,168,3,171,3072,11,https://www.youtube.com/watch?v=XaA-xdwS0ns
RAMAYANA Teaser Reaction 🔥 Rama | Namit Malhotra’s Ramayana | Nitesh Tiwari,Sabine Reacts: Bharat,29135,2526,235,9,1173,16,https://www.youtube.com/watch?v=UUW0N_Ru490
My Last Free Fire Gameplay 😑 Enough is Enough - Tonde Gamer,Tonde Gamer,1075982,95050,13321,0,882,7,https://www.youtube.com/watch?v=u28KlosdRTw
"#Video - चोली के समान - #Ashish Yadav, Khushi Kakkar का आ गया लगन का सबसे ब्लास्ट - New #Magahi Song",Aashish Yadav Dhamaka,78700,512,10,0,1334,0,https://www.youtube.com/watch?v=tqYnwTK59CM
Terror Official Trailer | Adityaa | Ranjan Shivaraam Gowda | Harsha Vardhan Raaj | Silk Manju,MRT Music,866712,12528,603,40,2684,12,https://www.youtube.com/watch?v=89C_B5mUIzk
[Hindi] BGIS 2026 | GRAND FINALS | Day 3 #BGMILIVE #BGIS,KRAFTON INDIA ESPORTS,6630327,212939,764,5,655,13,https://www.youtube.com/watch?v=lDw_cNwQS3A
Ishq e Pak (Official MV) Mankirt Aulakh | Zehr Vibe | New Punjabi Song 2026,Mankirt Aulakh,2846730,43024,893,8,2635,8,https://www.youtube.com/watch?v=C6TbXCj6_oE
Masters of The Universe – Official Trailer,Amazon MGM Studios,9867701,69105,7238,3,1304,12,https://www.youtube.com/watch?v=X21JsHLHnY8
🔴LIVE - HYDRA | DYNAMO vs CONQUEROR Lobby - Day 11 #bgmi #shorts,Dynamo Gaming,335221,6620,11,3,919,17,https://www.youtube.com/watch?v=xBXmrmZyG-8
हनुमान जन्मोत्सव का No.1 बधाई गीत Hanuman Janmotsav Bhajan 2026 | Nonstop Hanuman Jayanti Song 2026,Bhajan india Chetak,130237,1235,68,10,3782,23,https://www.youtube.com/watch?v=WQCvbgvUklM
"Ramayana Teaser: Public Angry on Namit Malhotra, 4000cr SCAM | Ramayan Rama Trailer Review Reaction",BHT REVIEW,42018,1908,792,8,1414,8,https://www.youtube.com/watch?v=CqDqqb_V9Bs
I PRETENDED TO BE A NOOB THEN USED SECRET DRAGON IN ROBLOX !!,Shivang Mini,198597,6420,8850,4,429,12,https://www.youtube.com/watch?v=YHyAJqqTfaU
#Video | #Banshidhar Chaudhary Ka Gana | Kam Nai Aitau 112 |  New Randari Song 2026,Banshidhar Chaudhary Hits,189833,1126,23,8,695,0,https://www.youtube.com/watch?v=VknywUwhj88
Vaazha 2: Biopic of a Billion Bros: Official Trailer | Releasing at PVR INOX on April 2,PVR,115951,1813,84,5,382,16,https://www.youtube.com/watch?v=PYI_dy23AuY
"Jonathan NEW Team 😳 GodLike Announcement🚨 Team Soul legit CHEATING Allegation🚀 BGMI, Team DISBAND",GamingNews15K,119275,5451,233,14,2000,13,https://www.youtube.com/watch?v=MKYKwGdfggg
